S0,K,r,T,corp,alpha,beta,omega,gamma,lambda,V
,,,,corp,,,,,,
0.8815415781282679,0.09616379247989486,0.05,0.011142061281337047,1,1.33e-06,0.8,1e-06,100.0,0.5,0.7949804329988007
0.8815415781282679,0.09616379247989486,0.05,0.011142061281337047,-1,1.33e-06,0.8,1e-06,100.0,0.5,0.6509736161080604
0.8815415781282679,0.20429751276777014,0.05,0.011142061281337047,1,1.33e-06,0.8,1e-06,100.0,0.5,0.6682356335831057
0.8815415781282679,0.20429751276777014,0.05,0.011142061281337047,-1,1.33e-06,0.8,1e-06,100.0,0.5,0.48823049386389666
0.8815415781282679,0.31243123305564596,0.05,0.011142061281337047,1,1.33e-06,0.8,1e-06,100.0,0.5,0.5414908341674106
0.8815415781282679,0.31243123305564596,0.05,0.011142061281337047,-1,1.33e-06,0.8,1e-06,100.0,0.5,0.32548737161973296
0.8815415781282679,0.42056495334352195,0.05,0.011142061281337047,1,1.33e-06,0.8,1e-06,100.0,0.5,0.4147460347517155
0.8815415781282679,0.42056495334352195,0.05,0.011142061281337047,-1,1.33e-06,0.8,1e-06,100.0,0.5,0.16274312224416373
0.8815415781282679,0.5286986736313964,0.05,0.011142061281337047,1,1.33e-06,0.8,1e-06,100.0,0.5,0.2880012353360204
0.8815415781282679,0.5286986736313964,0.05,0.011142061281337047,-1,1.33e-06,0.8,1e-06,100.0,0.5,0.0
0.8815415781282679,0.6368323939192709,0.05,0.011142061281337047,1,1.33e-06,0.8,1e-06,100.0,0.5,0.16125643592032535
0.8815415781282679,0.6368323939192709,0.05,0.011142061281337047,-1,1.33e-06,0.8,1e-06,100.0,0.5,0.0
0.8815415781282679,0.7449661142071454,0.05,0.011142061281337047,1,1.33e-06,0.8,1e-06,100.0,0.5,0.03451163650463026
0.8815415781282679,0.7449661142071454,0.05,0.011142061281337047,-1,1.33e-06,0.8,1e-06,100.0,0.5,0.0
0.8815415781282679,0.8530998344950196,0.05,0.011142061281337047,1,1.33e-06,0.8,1e-06,100.0,0.5,0.0
0.8815415781282679,0.8530998344950196,0.05,0.011142061281337047,-1,1.33e-06,0.8,1e-06,100.0,0.5,0.0
0.8815415781282679,0.9612335547829017,0.05,0.011142061281337047,1,1.33e-06,0.8,1e-06,100.0,0.5,0.0
0.8815415781282679,0.9612335547829017,0.05,0.011142061281337047,-1,1.33e-06,0.8,1e-06,100.0,0.5,0.0
0.8815415781282679,0.09616379247989486,0.05,0.025069637883008356,1,1.33e-06,0.8,1e-06,100.0,0.5,0.6509736161080604
0.8815415781282679,0.09616379247989486,0.05,0.025069637883008356,-1,1.33e-06,0.8,1e-06,100.0,0.5,0.6509736161080604
0.8815415781282679,0.20429751276777014,0.05,0.025069637883008356,1,1.33e-06,0.8,1e-06,100.0,0.5,0.5206107248807496
