S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,V,impl
94.2363664636503,0.8,0.03,5,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,29.3495800561806,0.0538
94.2363664636503,0.8,0.03,5,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,18.8472732927301,0.1875
94.2363664636503,0.85,0.03,5,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,25.2940804419517,0.0453
94.2363664636503,0.85,0.03,5,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,14.1354549695475,0.1875
94.2363664636503,0.9,0.03,5,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,21.2385808277228,0.0361
94.2363664636503,0.9,0.03,5,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,9.42363664636503,0.0938
94.2363664636503,0.95,0.03,5,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,17.1830812134939,0.0294
94.2363664636503,0.95,0.03,5,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,4.71181832318251,0.0938
94.2363664636503,1,0.03,5,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,13.1275815992649,0.022
94.2363664636503,1,0.03,5,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,0,0.0117
94.2363664636503,1.05,0.03,5,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,9.072081985036,0.015
94.2363664636503,1.05,0.03,5,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,0,0.0234
94.2363664636503,1.1,0.03,5,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,5.01658237080706,0.0084
94.2363664636503,1.1,0.03,5,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,0,0.0469
94.2363664636503,1.15,0.03,5,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,1.00349814201867,0.0038
94.2363664636503,1.15,0.03,5,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,0,0.0469
94.2363664636503,1.2,0.03,5,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,0,0.0059
94.2363664636503,1.2,0.03,5,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,0,0.0469
94.2363664636503,0.8,0.03,10,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,25.2614176590805,0
94.2363664636503,0.8,0.03,10,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,18.8472732927301,0.1875
94.2363664636503,0.85,0.03,10,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,21.7708167927249,0
94.2363664636503,0.85,0.03,10,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,14.1354549695475,0.1875
94.2363664636503,0.9,0.03,10,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,18.2802159263693,0
94.2363664636503,0.9,0.03,10,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,9.42363664636503,0.0938
94.2363664636503,0.95,0.03,10,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,14.7896150600137,0
94.2363664636503,0.95,0.03,10,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,4.71181832318251,0.0938
94.2363664636503,1,0.03,10,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,11.2990141936581,0
94.2363664636503,1,0.03,10,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,0,0.0117
94.2363664636503,1.05,0.03,10,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,7.80841332730256,0
94.2363664636503,1.05,0.03,10,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,0,0.0234
94.2363664636503,1.1,0.03,10,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,4.31781246094696,0
94.2363664636503,1.1,0.03,10,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,0,0.0469
94.2363664636503,1.15,0.03,10,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,0.863718855163194,0
94.2363664636503,1.15,0.03,10,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,0,0.0469
94.2363664636503,1.2,0.03,10,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,0,0
94.2363664636503,1.2,0.03,10,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,0,0.0469
94.2363664636503,0.8,0.03,21,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,19.1804631907264,0
94.2363664636503,0.8,0.03,21,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,18.8472732927301,0.1875
94.2363664636503,0.85,0.03,21,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,15.8037369106116,0
94.2363664636503,0.85,0.03,21,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,14.1354549695475,0.1875
94.2363664636503,0.9,0.03,21,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,13.1420810817272,0
94.2363664636503,0.9,0.03,21,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,9.42363664636503,0.0938
94.2363664636503,0.95,0.03,21,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,10.6326052749661,0
94.2363664636503,0.95,0.03,21,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,4.71181832318251,0.0938
94.2363664636503,1,0.03,21,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,8.12312946820504,0
94.2363664636503,1,0.03,21,-1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,0,0.0234
94.2363664636503,1.05,0.03,21,1,1.28185823971898e-06,0.827198038555425,7.87154176763932e-07,143.285357027882,0.594548170800603,5.61365366144397,0
